Code,Name,Panel,
atp5if1,"ATPase inhibitor, mitochondrial ",Inflammation,
atp5po,"ATP synthase subunit O, mitochondrial ",Neurology,
atp6ap2,Renin receptor (ATP6AP2),Oncology,
atp6v1d,V-type proton ATPase subunit D (ATP6V1D),Oncology,
atp6v1f,V-type proton ATPase subunit F (ATP6V1F),Neurology,
atxn10,Ataxin-10 ,Neurology,
axin1,Axin-1 (AXIN1),Inflammation,
axl,Tyrosine-protein kinase receptor UFO (AXL),Cardiometabolic,
azu1,Azurocidin (AZU1,Cardiometabolic,
b4galt1,"Beta-1,4-galactosyltransferase 1 (B4GALT1)",Inflammation,
b4gat1,"Beta-1,4-glucuronyltransferase 1 (B4GAT1)",Neurology,
bach1,Transcription regulator protein BACH1 (BACH1),Inflammation,
bag3,BAG family molecular chaperone regulator 3 ,Neurology,
bag6,Large proline-rich protein BAG6 (BAG6),Cardiometabolic,
baiap2,Brain-specific angiogenesis inhibitor 1-associated protein 2 ,Oncology,
bambi,BMP and activin membrane-bound inhibitor homolog (BAMBI),Oncology,
bank1,B-cell scaffold protein with ankyrin repeats (BANK1),Inflammation,
bax,Apoptosis regulator BAX ,Neurology,
bcam,Basal cell adhesion molecule (BCAM),Neurology,
bcan,Brevican core protein (BCAN),Neurology,
bcl2l11,Bcl-2-like protein 11 isoform BimL (BCL2L11),Inflammation,
bcr,Breakpoint cluster region protein (BCR),Inflammation,
bgn,Biglycan (BGN),Oncology,
bid,BH3-interacting domain death agonist (BID),Inflammation,
bin2,Bridging integrator 2 ,Neurology,
birc2,Baculoviral IAP repeat-containing protein 2 (BIRC2),Oncology,
blmh,Bleomycin hydrolase (BLM hydrolase),Cardiometabolic,
blvrb,Flavin reductase NADPH (BLVRB),Neurology,
bmp4,Bone morphogenetic protein 4 (BMP-4),Neurology,
bmp6,Bone morphogenetic protein 6 (BMP-6),Cardiometabolic,
boc,Brother of CDO (Protein BOC),Cardiometabolic,
bpifb1,BPI fold-containing family B member 1 ,Cardiometabolic,
brk1,Protein BRICK1 (BRK1),Neurology,
bsg,Basigin ,Inflammation,
bst1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (BST1),Neurology,
bst2,Bone marrow stromal antigen 2 (BST2),Neurology,
btc,Probetacellulin (BTC),Oncology,
btn2a1,Butyrophilin subfamily 2 member A1,Inflammation,
btn3a2,Butyrophilin subfamily 3 member A2 (BTN3A2),Inflammation,
c19orf12,Protein C19orf12,Neurology,
c1qa,Complement C1q subcomponent subunit A (C1QA),Inflammation,
c1qtnf1,Complement C1q tumor necrosis factor-related protein 1 (C1QTNF1),Cardiometabolic,
c2,Complement C2 (C2),Cardiometabolic,
c2cd2l,Phospholipid transfer protein C2CD2L ,Neurology,
c4bpb,C4b-binding protein beta chain,Oncology,
ca1,Carbonic anhydrase 1 (CA1),Cardiometabolic,
ca11,Carbonic anhydrase-related protein 11 ,Oncology,
ca12,Carbonic anhydrase 12 (CA12),Oncology,
ca13,Carbonic anhydrase 13 (CA13),Cardiometabolic,
ca14,Carbonic anhydrase 14 (CA14),Oncology,
ca2,Carbonic anhydrase 2 (CA2),Neurology,
ca3,Carbonic anhydrase 3 (CA3),Cardiometabolic,
ca4,Carbonic anhydrase 4 (CA4),Cardiometabolic,
ca5a,"Carbonic anhydrase 5A, mitochondrial (CA5A)",Cardiometabolic,
ca6,Carbonic anhydrase 6 (CA6),Neurology,
ca9,Carbonic anhydrase IX  (CAIX),Oncology,
calb1,Calbindin ,Oncology,
calb2,Calretinin ,Neurology,
calca,Calcitonin (CALCA),Neurology,
calcoco1,Calcium-binding and coiled-coil domain-containing protein 1 (CALCOCO1),Oncology,
camkk1,Calcium/calmodulin-dependent protein kinase kinase 1 (CAMKK1),Oncology,
cant1,Soluble calcium-activated nucleotidase 1 (CANT1),Cardiometabolic,
capg,Macrophage-capping protein (CAPG),Oncology,
carhsp1,Calcium-regulated heat-stable protein 1 (CARHSP1),Neurology,
casp1,Caspase-1 ,Neurology,
casp10,Caspase-10 ,Neurology,
casp2,Caspase-2 (CASP2),Inflammation,
