Code,Name,Panel,
pcsk9,Proprotein convertase subtilisin/kexin type 9 (PCSK9),Cardiometabolic,
pdcd1,Programmed cell death protein 1 (PDCD1),Oncology,
pdcd1lg2,Programmed cell death 1 ligand 2 (PD-L2) ,Oncology,
pdcd5,Programmed cell death protein 5 ,Neurology,
pdcd6,Programmed cell death protein 6 ,Cardiometabolic,
pdgfa,Platelet-derived growth factor subunit A (PDGF subunit A),Cardiometabolic,
pdgfb,Platelet-derived growth factor subunit B (PDGF subunit B),Inflammation,
pdgfc,Platelet-derived growth factor C (PDGFC),Oncology,
pdgfra,Platelet-derived growth factor receptor alpha (PDGF-R-alpha),Cardiometabolic,
pdgfrb,Platelet-derived growth factor receptor beta (PDGFRB),Cardiometabolic,
pdlim7,PDZ and LIM domain protein 7 ,Inflammation,
pdp1,"(Pyruvate dehydrogenase (acetyl-transferring))-phosphatase 1, mitochondrial (PDP1)",Oncology,
pear1,Platelet endothelial aggregation receptor 1 (PEAR1),Cardiometabolic,
pebp1,Phosphatidylethanolamine-binding protein 1 (PEBP1),Neurology,
pecam1,Platelet endothelial cell adhesion molecule (PECAM-1),Neurology,
pfdn2,Prefoldin subunit 2 (PFDN2),Neurology,
pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 ",Oncology,
pgf,Placenta growth factor (PGF),Inflammation,
pglyrp1,Peptidoglycan recognition protein 1 (PGLYRP1),Cardiometabolic,
phospho1,Phosphoethanolamine/phosphocholine phosphatase (PHOSPHO1),Neurology,
pi3,Elafin (PI3) ,Cardiometabolic,
pigr,Polymeric immunoglobulin receptor (PIgR) ,Neurology,
pik3ap1,Phosphoinositide 3-kinase adapter protein 1 (PIK3AP1),Inflammation,
pik3ip1,Phosphoinositide-3-kinase-interacting protein 1 ,Neurology,
pilra,Paired immunoglobulin-like type 2 receptor alpha (PILRA),Neurology,
pilrb,Paired immunoglobulin-like type 2 receptor beta (PILRB),Cardiometabolic,
pklr,Pyruvate kinase PKLR ,Inflammation,
pla2g10,Group 10 secretory phospholipase A2 (PLA2G10),Neurology,
pla2g15,Group XV phospholipase A2 ,Oncology,
pla2g1b,Phospholipase A2 ,Cardiometabolic,
pla2g2a,"Phospholipase A2, membrane associated ",Cardiometabolic,
pla2g4a,Cytosolic phospholipase A2 (PLA2G4A),Inflammation,
pla2g7,Platelet-activating factor acetylhydrolase  (PLA2G7),Neurology,
plat,Tissue-type plasminogen activator (t-PA) ,Cardiometabolic,
plau,Urokinase-type plasminogen activator (uPA),Neurology,
plaur,Urokinase plasminogen activator surface receptor  (U-PAR),Inflammation,
plin1,Perilipin-1 (PLIN1),Neurology,
plin3,Perilipin-3 ,Cardiometabolic,
plpbp,Pyridoxal phosphate homeostasis protein ,Cardiometabolic,
pltp,Phospholipid transfer protein (PLTP),Cardiometabolic,
plxdc1,Plexin domain-containing protein 1 (PLXDC1),Oncology,
plxna4,Plexin-A4 (PLXNA4),Inflammation,
plxnb2,Plexin-B2 (PLXNB2),Cardiometabolic,
plxnb3,Plexin-B3 (PLXNB3),Cardiometabolic,
pm20d1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1 ,Cardiometabolic,
pmvk,Phosphomevalonate kinase (PMVK),Neurology,
pnliprp2,Pancreatic lipase-related protein 2 ,Inflammation,
pnpt1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial ",Inflammation,
podxl,Podocalyxin (PODXL),Oncology,
podxl2,Podocalyxin-like protein 2 (PODXL2),Oncology,
polr2f,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 ",Oncology,
pon2,Serum paraoxonase/arylesterase 2 (PON2),Cardiometabolic,
pon3,Paraoxonase (PON3),Inflammation,
ppcdc,Phosphopantothenoylcysteine decarboxylase ,Neurology,
ppib,Peptidyl-prolyl cis-trans isomerase B (PPIB),Cardiometabolic,
ppm1a,Protein phosphatase 1A ,Oncology,
ppme1,Protein phosphatase methylesterase 1 ,Oncology,
ppp1r12a,Protein phosphatase 1 regulatory subunit 12A ,Oncology,
ppp1r2,Protein phosphatase inhibitor 2 (PPP1R2),Cardiometabolic,
ppp1r9b,Neurabin-2 (PPP1R9B),Inflammation,
ppp3r1,Calcineurin subunit B type 1 (PPP3R1),Neurology,
ppy,Pancreatic prohormone (PPY),Oncology,
pqbp1,Polyglutamine-binding protein 1 ,Oncology,
prcp,Lysosomal Pro-X carboxypeptidase (PRCP),Cardiometabolic,
prdx1,Peroxiredoxin-1 (PRDX1),Neurology,
prdx3,"Thioredoxin-dependent peroxide reductase, mitochondrial (PRDX3)",Inflammation,
prdx5,"Peroxiredoxin-5, mitochondrial (PRDX5)",Inflammation,
prdx6,Peroxiredoxin-6 (PRDX6),Oncology,
preb,Prolactin regulatory element-binding protein (PREB),Inflammation,
prelp,Prolargin (PRELP) ,Inflammation,
prkab1,5'-AMP-activated protein kinase subunit beta-1 (PRKAB1),Inflammation,
prkar1a,cAMP-dependent protein kinase type I-alpha regulatory subunit ,Cardiometabolic,
prkcq,Protein kinase C theta type (PRKCQ),Inflammation,
prkra,Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PRKRA),Oncology,
prl,Prolactin ,Neurology,
proc,Vitamin K-dependent protein C (PROC),Cardiometabolic,
prok1,Prokineticin-1 (PROK1),Inflammation,
prss2,Trypsin-2 (PRSS2),Cardiometabolic,
prss27,Serine protease 27 (PRSS27) ,Cardiometabolic,
prss8,Prostasin (PRSS8 ),Inflammation,
prtfdc1,Phosphoribosyltransferase domain-containing protein 1 (PRTFDC1),Neurology,
prtg,Protogenin (PRTG),Oncology,
prtn3,Myeloblastin (PRTN3),Cardiometabolic,
psg1,Pregnancy-specific beta-1-glycoprotein 1 (PSG1),Neurology,
psip1,PC4 and SFRS1-interacting protein (PSIP1),Inflammation,
psma1,Proteasome subunit alpha type-1 (PSMA1),Oncology,
psmd9,26S proteasome non-ATPase regulatory subunit 9 (PSMD9),Oncology,
psme1,Proteasome activator complex subunit 1 (PSME1),Neurology,
psme2,Proteasome activator complex subunit 2 ,Neurology,
psmg3,Proteasome assembly chaperone 3 ,Inflammation,
pspn,Persephin (PSPN),Inflammation,
psrc1,Proline/serine-rich coiled-coil protein 1,Oncology,
pten,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN ",Neurology,
ptgds,Prostaglandin-H2 D-isomerase ,Cardiometabolic,
pth1r,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH1R),Inflammation,
ptk7,Inactive tyrosine-protein kinase 7 (PTK7),Neurology,
ptn,Pleiotrophin (PTN),Cardiometabolic,
ptpn1,Tyrosine-protein phosphatase non-receptor type 1 (PTPN1),Neurology,
ptpn6,Tyrosine-protein phosphatase non-receptor type 6 (PTPN6),Inflammation,
ptprf,Receptor-type tyrosine-protein phosphatase F (PTPRF),Cardiometabolic,
ptprm,Receptor-type tyrosine-protein phosphatase mu (PTPRM),Inflammation,
ptprn2,Receptor-type tyrosine-protein phosphatase N2 ,Neurology,
ptprs,Receptor-type tyrosine-protein phosphatase S  (PTPRS),Cardiometabolic,
pts,6-pyruvoyl tetrahydrobiopterin synthase (PTS),Neurology,
ptx3,Pentraxin-related protein PTX3 (PTX3) ,Inflammation,
pvalb,Parvalbumin alpha (PVALB),Oncology,
pvr,Poliovirus receptor (PVR),Neurology,
pxn,Paxillin (PXN),Neurology,
qdpr,Dihydropteridine reductase (QDPR),Cardiometabolic,
qpct,Glutaminyl-peptide cyclotransferase (QPCT),Cardiometabolic,
rab37,Ras-related protein Rab-37,Inflammation,
rab6a,Ras-related protein Rab-6A (RAB6A),Inflammation,
rab6b,Ras-related protein Rab-6B,Neurology,
rabepk,Rab9 effector protein with kelch motifs ,Oncology,
rabgap1l,Rab GTPase-activating protein 1-like,Inflammation,
rad23b,UV excision repair protein RAD23 homolog B ,Oncology,
rangap1,Ran GTPase-activating protein 1 ,Oncology,
rarres1,Retinoic acid receptor responder protein 1 (RARRES1),Oncology,
rarres2,Retinoic acid receptor responder protein 2 (RARRES2),Cardiometabolic,
rasa1,Ras GTPase-activating protein 1 (RASA1),Neurology,
rassf2,Ras association domain-containing protein 2 (RASSF2),Oncology,
rbks,Ribokinase (RBKS),Neurology,
rbp2,Retinol-binding protein 2 ,Oncology,
rbp5,Retinol-binding protein 5 ,Oncology,
rcor1,REST corepressor 1 (RCOR1),Cardiometabolic,
reg1a,Lithostathine-1-alpha (REG1A),Cardiometabolic,
reg1b,Lithostathine-1-beta ,Cardiometabolic,
reg3a,Regenerating islet-derived protein 3-alpha  (REG3A),Cardiometabolic,
reg4,Regenerating islet-derived protein 4 (REG4),Inflammation,
relt,Tumor necrosis factor receptor superfamily member 19L (RELT),Neurology,
ren,Renin (REN) ,Cardiometabolic,
ret,Proto-oncogene tyrosine-protein kinase receptor Ret (RET),Oncology,
retn,Resistin (RETN) ,Cardiometabolic,
rgma,Repulsive guidance molecule A (RGMA),Neurology,
rgmb,RGM domain family member B (RGMB),Neurology,
rgs8,Regulator of G-protein signaling 8  (RGS8),Inflammation,
rhoc,Rho-related GTP-binding protein RhoC ,Neurology,
rilp,Rab-interacting lysosomal protein,Oncology,
rnase3,Eosinophil cationic protein (RNASE3),Cardiometabolic,
rnaset2,Ribonuclease T2 ,Cardiometabolic,
rnf41,E3 ubiquitin-protein ligase NRDP1 ,Oncology,
robo1,Roundabout homolog 1 (ROBO1),Inflammation,
robo2,Roundabout homolog 2 (ROBO2),Neurology,
ror1,Inactive tyrosine-protein kinase transmembrane receptor ROR1 (ROR1),Cardiometabolic,
rp2,Protein XRP2 (RP2),Oncology,
rrm2,Ribonucleoside-diphosphate reductase subunit M2 ,Oncology,
rrm2b,Ribonucleoside-diphosphate reductase subunit M2 B (RRM2B),Oncology,
rspo1,R-spondin-1 (RSPO1),Neurology,
rspo3,R-spondin-3 (RSPO3),Oncology,
rtbdn,Retbindin,Oncology,
rtn4r,Reticulon-4 receptor (RTN4R),Oncology,
ruvbl1,RuvB-like 1 ,Oncology,
rwdd1,RWD domain-containing protein 1 ,Neurology,
s100a11,Protein S100-A11 (S100A11),Cardiometabolic,
s100a12,Protein S100-A12 (EN-RAGE ),Oncology,
s100a16,Protein S100-A16 (S100A16),Neurology,
s100a4,Protein S100-A4 (S100A4),Oncology,
s100p,Protein S100-P (S100P),Cardiometabolic,
samd9l,Sterile alpha motif domain-containing protein 9-like ,Inflammation,
scamp3,Secretory carrier-associated membrane protein 3 (SCAMP3),Oncology,
scara5,Scavenger receptor class A member 5 (SCARA5),Neurology,
scarb1,Scavenger receptor class B member 1 ,Neurology,
scarb2,Lysosome membrane protein 2 (SCARB2),Neurology,
scarf1,Scavenger receptor class F member 1 (SCARF1),Cardiometabolic,
scarf2,Scavenger receptor class F member 2 (SCARF2),Neurology,
scg2,Secretogranin-2 (SCG2),Oncology,
scg3,Secretogranin-3 ,Inflammation,
scgb1a1,Uteroglobin ,Inflammation,
scgb3a2,Secretoglobin family 3A member 2 (SCGB3A2),Inflammation,
scgn,Secretagogin (SCGN),Inflammation,
scly,Selenocysteine lyase (SCLY),Oncology,
scp2,Non-specific lipid-transfer protein ,Oncology,
scrn1,Secernin-1,Inflammation,
sdc1,Syndecan-1 (SYND1),Cardiometabolic,
sdc4,Syndecan-4 (SDC4),Cardiometabolic,
sele,E-selectin  (SELE),Cardiometabolic,
selp,P-selectin (SELP) ,Cardiometabolic,
selplg,P-selectin glycoprotein ligand 1 (PSGL-1) ,Inflammation,
sema3f,Semaphorin-3F (SEMA3F),Cardiometabolic,
sema4c,Semaphorin-4C (SEMA4C),Oncology,
sema4d,Semaphorin-4D ,Neurology,
sema7a,Semaphorin-7A (SEMA7A),Cardiometabolic,
septin9,Septin-9 (SEPT9),Oncology,
serpina11,Serpin A11,Cardiometabolic,
serpina12,Serpin A12 (SERPINA12) ,Cardiometabolic,
serpina9,Serpin A9 (SERPINA9),Oncology,
serpinb1,Leukocyte elastase inhibitor ,Neurology,
serpinb5,Serpin B5 ,Cardiometabolic,
serpinb6,Serpin B6 (SERPINB6),Neurology,
serpinb8,Serpin B8 (SERPINB8),Inflammation,
serpinb9,Serpin B9 ,Neurology,
serpine1,Plasminogen activator inhibitor 1 (PAI),Cardiometabolic,
sestd1,SEC14 domain and spectrin repeat-containing protein 1 ,Neurology,
setmar,Histone-lysine N-methyltransferase SETMAR ,Neurology,
sez6l,Seizure 6-like protein (SEZ6L),Oncology,
sez6l2,Seizure 6-like protein 2 (SEZ6L2),Oncology,
sf3b4,Splicing factor 3B subunit 4 ,Oncology,
sfrp1,Secreted frizzled-related protein 1 (SFRP1),Neurology,
sftpa1,Pulmonary surfactant-associated protein A1 (SFTPA1),Oncology,
sftpa2,Pulmonary surfactant-associated protein A2 ,Oncology,
sftpd,Pulmonary surfactant-associated protein D (PSP-D) ,Cardiometabolic,
sh2b3,SH2B adapter protein 3 (SH2B3),Oncology,
sh2d1a,SH2 domain-containing protein 1A (SH2D1A),Inflammation,
shmt1,"Serine hydroxymethyltransferase, cytosolic ",Inflammation,
siae,Sialate O-acetylesterase ,Oncology,
siglec1,Sialoadhesin (SIGLEC1),Inflammation,
siglec10,Sialic acid-binding Ig-like lectin 10  (SIGLEC10),Inflammation,
siglec15,Sialic acid-binding Ig-like lectin 15 ,Neurology,
siglec5,Sialic acid-binding Ig-like lectin 5 ,Neurology,
siglec6,Sialic acid-binding Ig-like lectin 6  (SIGLEC6),Oncology,
siglec7,Sialic acid-binding Ig-like lectin 7 (SIGLEC7),Cardiometabolic,
siglec9,Sialic acid-binding Ig-like lectin 9 (Siglec-9),Oncology,
sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1 (SHPS-1) ,Cardiometabolic,
sirpb1,Signal-regulatory protein beta-1 (SIRPB1),Inflammation,
sirt2,SIR2-like protein 2 (SIRT2),Oncology,
sirt5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial (SIRT5)",Neurology,
sit1,Signaling threshold-regulating transmembrane adapter 1 (SIT1),Inflammation,
skap1,Src kinase-associated phosphoprotein 1 (SKAP1),Neurology,
skap2,Src kinase-associated phosphoprotein 2 ,Inflammation,
slamf1,Signaling lymphocytic activation molecule (SLAMF1),Inflammation,
slamf6,SLAM family member 6 ,Oncology,
slamf7,SLAM family member 7 (SLAMF7) ,Inflammation,
slamf8,SLAM family member 8 (SLAMF8),Oncology,
slc16a1,Monocarboxylate transporter 1 ,Neurology,
slc27a4,Long-chain fatty acid transport protein 4 ,Neurology,
slc39a14,Zinc transporter ZIP14 ,Neurology,
slc39a5,Zinc transporter ZIP5 ,Inflammation,
slit2,Slit homolog 2 protein ,Neurology,
slitrk2,SLIT and NTRK-like protein 2 (SLITRK2),Oncology,
slitrk6,SLIT and NTRK-like protein 6 (SLITRK6),Cardiometabolic,
smad1,Mothers against decapentaplegic homolog 1 (SMAD1),Oncology,
smad5,Mothers against decapentaplegic homolog 5 (MAD homolog 5),Oncology,
smarca2,Probable global transcription activator SNF2L2 ,Neurology,
smoc1,SPARC-related modular calcium-binding protein 1 (SMOC1),Oncology,
smoc2,SPARC-related modular calcium-binding protein 2 (SMOC2),Inflammation,
smpd1,Sphingomyelin phosphodiesterase (SMPD1),Neurology,
smpdl3a,Acid sphingomyelinase-like phosphodiesterase 3a ,Inflammation,
snap23,Synaptosomal-associated protein 23 (SNAP23),Cardiometabolic,
snap29,Synaptosomal-associated protein 29 (SNAP29),Oncology,
sncg,Gamma-synuclein (SNCG),Neurology,
snx9,Sorting nexin-9 ,Cardiometabolic,
sod1,Superoxide dismutase (Cu-Zn) (SOD1),Cardiometabolic,
sod2,"Superoxide dismutase (Mn), mitochondrial (SOD2) ",Neurology,
sorcs2,VPS10 domain-containing receptor SorCS2 (SORCS2),Oncology,
sord,Sorbitol dehydrogenase ,Oncology,
sort1,Sortilin (SORT1) ,Cardiometabolic,
sost,Sclerostin (SOST),Cardiometabolic,
sparc,SPARC (SPARC),Oncology,
sparcl1,SPARC-like protein 1 (SPARCL1),Cardiometabolic,
spink1,Serine protease inhibitor Kazal-type 1 (SPINK1),Neurology,
spink4,Serine protease inhibitor Kazal-type 4 (SPINK4),Inflammation,
spink5,Serine protease inhibitor Kazal-type 5 (SPINK5),Neurology,
spink6,Serine protease inhibitor Kazal-type 6 ,Oncology,
spint1,Kunitz-type protease inhibitor 1 (SPINT1),Neurology,
spint2,Kunitz-type protease inhibitor 2 (SPINT2),Inflammation,
spock1,Testican-1 (SPOCK1),Neurology,
spon1,Spondin-1 (SPON1),Inflammation,
spon2,Spondin-2 (SPON2) ,Cardiometabolic,
spp1,Osteopontin (OPN) ,Cardiometabolic,
spry2,Protein sprouty homolog 2 (SPRY2),Inflammation,
src,Proto-oncogene tyrosine-protein kinase Src (SRC) ,Oncology,
srp14,Signal recognition particle 14 kDa protein (SRP14),Oncology,
srpk2,SRSF protein kinase 2 (SRPK2),Inflammation,
ssb,Lupus La protein ,Neurology,
ssc4d,Scavenger receptor cysteine-rich domain-containing group B protein (SSC4D),Cardiometabolic,
ssc5d,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D ,Cardiometabolic,
st3gal1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (ST3GAL1)",Oncology,
st6gal1,"Beta-galactoside alpha-2,6-sialyltransferase 1  (ST6GAL1)",Cardiometabolic,
stambp,STAM-binding protein (STAMPB),Neurology,
stat5b,Signal transducer and activator of transcription 5B,Oncology,
stc1,Stanniocalcin-1 (STC1),Neurology,
stc2,Stanniocalcin-2 ,Neurology,
stip1,Stress-induced-phosphoprotein 1 (STIP1),Neurology,
stk11,Serine/threonine-protein kinase STK11 ,Cardiometabolic,
stk24,Serine/threonine-protein kinase 24 ,Neurology,
stk4,Serine/threonine-protein kinase 4 (STK4) ,Cardiometabolic,
stx16,Syntaxin-16  (STX16),Oncology,
stx4,Syntaxin-4 ,Oncology,
stx6,Syntaxin-6 (STX6),Oncology,
stx8,Syntaxin-8 (STX8),Inflammation,
stxbp3,Syntaxin-binding protein 3 (STXBP3),Oncology,
sugt1,Protein SGT1 homolog ,Oncology,
sult1a1,Sulfotransferase 1A1 (ST1A1),Neurology,
sult2a1,Bile salt sulfotransferase (SULT2A1),Inflammation,
sumf2,Sulfatase-modifying factor 2 (SUMF2),Neurology,
susd1,Sushi domain-containing protein 1,Cardiometabolic,
susd2,Sushi domain-containing protein 2,Neurology,
tacc3,Transforming acidic coiled-coil-containing protein 3 (TACC3),Oncology,
tacstd2,Tumor-associated calcium signal transducer 2 (TACSTD2),Oncology,
tafa5,Protein FAM19A5 (FAM19A5),Oncology,
tank,TRAF family member-associated NF-kappa-B activator (TANK),Inflammation,
tarbp2,RISC-loading complex subunit TARBP2 ,Neurology,
tbc1d17,TBC1 domain family member 17,Neurology,
tbc1d23,TBC1 domain family member 23 ,Oncology,
tbc1d5,TBC1 domain family member 5,Inflammation,
tbcb,Tubulin-folding cofactor B (TBCB),Neurology,
tbcc,Tubulin-specific chaperone C ,Neurology,
tbl1x,F-box-like/WD repeat-containing protein TBL1X (TBL1X),Oncology,
tcl1a,T-cell leukemia / lymphoma protein 1A (TCL1A),Neurology,
tcl1b,T-cell leukemia/lymphoma protein 1B (TCL1B),Cardiometabolic,
tcn2,Transcobalamin-2  (TCN2),Cardiometabolic,
tdgf1,Teratocarcinoma-derived growth factor 1 (TDGF1),Neurology,
tdrkh,Tudor and KH domain-containing protein (TDRKH),Neurology,
tek,Angiopoietin-1 receptor  (TIE2),Oncology,
tff1,Trefoil factor 1 ,Neurology,
tff2,Trefoil factor 2 (TFF2),Inflammation,
tff3,Trefoil factor 3 (TFF3) ,Cardiometabolic,
tfpi,Tissue factor pathway inhibitor (TFPI),Cardiometabolic,
tfpi2,Tissue factor pathway inhibitor 2 (TFPI-2),Oncology,
tfrc,Transferrin receptor protein 1 (TR),Cardiometabolic,
tgfa,Transforming growth factor alpha  (TGF-alpha),Inflammation,
tgfb1,Latency-associated peptide transforming growth factor beta-1 (LAP TGF-beta-1),Inflammation,
tgfbi,Transforming growth factor-beta-induced protein ig-h3  (TGFBI),Cardiometabolic,
tgfbr2,TGF-beta receptor type-2 (TGFR-2),Oncology,
tgfbr3,Transforming growth factor beta receptor type 3  (TGFBR3),Cardiometabolic,
tgm2,Protein-glutamine gamma-glutamyltransferase 2 (TGM2) ,Cardiometabolic,
thbd,Thrombomodulin  TM ,Cardiometabolic,
thbs2,Thrombospondin-2 (THBS2) ,Neurology,
thbs4,Thrombospondin-4 (THBS4),Cardiometabolic,
thop1,Thimet oligopeptidase (THOP1),Cardiometabolic,
thpo,Thrombopoietin  (THPO),Cardiometabolic,
thy1,Thy-1 membrane glycoprotein (THY 1),Neurology,
tia1,Nucleolysin TIA-1 isoform p40 ,Cardiometabolic,
tie1,Tyrosine-protein kinase receptor Tie-1 (TIE1),Cardiometabolic,
tigar,"Fructose-2,6-bisphosphatase TIGAR (TIGAR)",Neurology,
timd4,T-cell immunoglobulin and mucin domain-containing protein 4  (TIMD4),Cardiometabolic,
timp1,Metalloproteinase inhibitor 1 (TIMP1),Cardiometabolic,
timp3,Metalloproteinase inhibitor 3 ,Inflammation,
timp4,Metalloproteinase inhibitor 4 (TIMP4),Neurology,
tinagl1,Tubulointerstitial nephritis antigen-like (TINAGL1),Cardiometabolic,
tjap1,Tight junction-associated protein 1 ,Oncology,
tlr3,Toll-like receptor 3 (TLR3),Inflammation,
tmprss15,Enteropeptidase (TMPRSS15),Oncology,
tmprss5,Transmembrane protease serine 5 (TMPRSS5),Neurology,
tmsb10,Thymosin beta-10 (TMSB10),Neurology,
tnc,Tenascin  (TNC),Cardiometabolic,
tnf,Tumor necrosis factor (TNF),Cardiometabolic,
tnfaip8,Tumor necrosis factor alpha-induced protein 8 (TNFAIP8),Inflammation,
tnfrsf10a,Tumor necrosis factor receptor superfamily member 10A (TNFRSF10A) ,Neurology,
tnfrsf10b,TNF-related apoptosis-inducing ligand receptor 2 (TRAIL-R2),Neurology,
tnfrsf10c,Tumor necrosis factor receptor superfamily member 10C (TNFRSF10C),Cardiometabolic,
tnfrsf11a,Tumor necrosis factor receptor superfamily member 11A (TNFRSF11A) ,Inflammation,
tnfrsf11b,Osteoprotegerin (OPG),Inflammation,
tnfrsf12a,Tumor necrosis factor receptor superfamily member 12A (TNFRSF12A),Oncology,
tnfrsf13b,Tumor necrosis factor receptor superfamily member 13B (TNFRSF13B) ,Inflammation,
tnfrsf13c,Tumor necrosis factor receptor superfamily member 13C (TNFRSF13C),Inflammation,
tnfrsf14,Tumor necrosis factor receptor superfamily member 14 (TNFRSF14) ,Inflammation,
tnfrsf19,Tumor necrosis factor receptor superfamily member 19 (TNFRSF19),Oncology,
tnfrsf1a,Tumor necrosis factor receptor 1  (TNF-R1),Neurology,
tnfrsf1b,Tumor necrosis factor receptor 2  (TNF-R2),Neurology,
tnfrsf21,Tumor necrosis factor receptor superfamily member 21 (TNFRSF21),Neurology,
tnfrsf4,Tumor necrosis factor receptor superfamily member 4  (TNFRSF4 ),Inflammation,
tnfrsf6b,Tumor necrosis factor receptor superfamily member 6B (TNFRSF6B),Neurology,
tnfrsf8,Tumor necrosis factor receptor superfamily member 8 ,Neurology,
tnfrsf9,Tumor necrosis factor receptor superfamily member 9 (TNFRSF9),Neurology,
tnfsf10,TNF-related apoptosis-inducing ligand (TRAIL),Inflammation,
tnfsf11,TNF-related activation-induced cytokine (TRANCE),Inflammation,
tnfsf12,"Tumor necrosis factor (Ligand) superfamily, member 12 (TWEAK)",Inflammation,
tnfsf13,Tumor necrosis factor ligand superfamily member 13 (TNFSF13),Inflammation,
tnfsf13b,Tumor necrosis factor ligand superfamily member 13B (TNFSF13B),Cardiometabolic,
tnfsf14,Tumor necrosis factor ligand superfamily member 14  (TNFSF14 ),Neurology,
tnni3,"Troponin I, cardiac muscle (TNNI3)",Cardiometabolic,
tnr,Tenascin-R (TN-R),Neurology,
tnxb,Tenascin-X  (TNXB),Neurology,
tp53,Cellular tumor antigen p53 (TP53),Oncology,
tp53inp1,Tumor protein p53-inducible nuclear protein 1 ,Cardiometabolic,
tpmt,Thiopurine S-methyltransferase (TPMT),Oncology,
tpp1,Tripeptidyl-peptidase 1 (TPP1),Inflammation,
tppp3,Tubulin polymerization-promoting protein family member 3 (TPPP3),Neurology,
tpsab1,Tryptase alpha/beta-1 (TPSAB1),Inflammation,
tpt1,Translationally-controlled tumor protein (TPT1),Inflammation,
traf2,TNF receptor-associated factor 2 (TRAF2),Inflammation,
trem2,Triggering receptor expressed on myeloid cells 2 ,Inflammation,
treml2,Trem-like transcript 2 protein (TLT-2) ,Neurology,
triap1,TP53-regulated inhibitor of apoptosis 1 ,Oncology,
trim21,E3 ubiquitin-protein ligase TRIM21 (TRIM21),Inflammation,
trim5,Tripartite motif-containing protein 5 (TRIM5),Inflammation,
tshb,Thyrotropin subunit beta (TSHB),Cardiometabolic,
tslp,Thymic stromal lymphopoietin (TSLP),Cardiometabolic,
tspan1,Tetraspanin-1 ,Cardiometabolic,
tst,Thiosulfate sulfurtransferase ,Neurology,
txlna,Alpha-taxilin (TXLNA),Neurology,
txndc15,Thioredoxin domain-containing protein 15 (TXNDC15),Oncology,
txndc5,Thioredoxin domain-containing protein 5 (TXNDC5),Neurology,
txnrd1,"Thioredoxin reductase 1, cytoplasmic ",Neurology,
tymp,Thymidine phosphorylase (TYMP),Cardiometabolic,
tyro3,Tyrosine-protein kinase receptor TYRO3 (TYRO3),Cardiometabolic,
ubac1,Ubiquitin-associated domain-containing protein 1 (UBAC1),Oncology,
ulbp2,NKG2D ligand 2 (N2DL-2),Neurology,
umod,Uromodulin (UMOD),Cardiometabolic,
uso1,General vesicular transport factor p115 (USO1),Oncology,
usp8,Ubiquitin carboxyl-terminal hydrolase 8 (USP8),Cardiometabolic,
uxs1,UDP-glucuronic acid decarboxylase 1 ,Oncology,
vamp5,Vesicle-associated membrane protein 5  (VAMP5),Cardiometabolic,
vash1,Vasohibin-1 (VASH1),Inflammation,
vasn,Vasorin (VASN),Cardiometabolic,
vat1,Synaptic vesicle membrane protein VAT-1 homolog (VAT1 ),Oncology,
vcam1,Vascular cell adhesion protein 1  (VCAM1),Cardiometabolic,
vcan,Versican core protein (VCAN),Neurology,
vegfa,Vascular endothelial growth factor A (VEGF-A),Inflammation,
vegfc,Vascular endothelial growth factor C ,Oncology,
vegfd,Vascular endothelial growth factor D (VEGFD),Inflammation,
vim,Vimentin (VIM),Cardiometabolic,
vmo1,Vitelline membrane outer layer protein 1 homolog (VMO1),Oncology,
vnn2,Vascular non-inflammatory molecule 2 ,Oncology,
vps37a,Vacuolar protein sorting-associated protein 37A (VPS37A),Oncology,
vps53,Vacuolar protein sorting-associated protein 53 homolog (VPS53),Oncology,
vsig4,V-set and immunoglobulin domain-containing protein 4 (VSIG4),Neurology,
vsir,V-type immunoglobulin domain-containing suppressor of T-cell activation ,Cardiometabolic,
vstm1,V-set and transmembrane domain-containing protein 1 (VSTM1),Neurology,
vstm2l,V-set and transmembrane domain-containing protein 2-like protein,Cardiometabolic,
vta1,Vacuolar protein sorting-associated protein VTA1 homolog ,Neurology,
vtcn1,V-set domain-containing T-cell activation inhibitor 1 ,Oncology,
vwa1,von Willebrand factor A domain-containing protein 1 (VWA1),Oncology,
vwc2,Brorin (VWC2),Neurology,
vwf,von Willebrand factor (vWF),Cardiometabolic,
wars,"Tryptophan--tRNA ligase, cytoplasmic ",Neurology,
was,Wiskott-Aldrich syndrome protein (WAS),Inflammation,
wasf1,Wiskott-Aldrich syndrome protein family member 1  (WASF1),Cardiometabolic,
wasf3,Wiskott-Aldrich syndrome protein family member 3  (WASF3),Neurology,
wfdc12,WAP four-disulfide core domain protein 12 ,Oncology,
